model,prompt_id,score
codellama,gsm8k-315,0
codellama,gsm8k-316,0
codellama,gsm8k-317,0
codellama,gsm8k-318,1
codellama,gsm8k-319,1
codellama,gsm8k-320,0
codellama,gsm8k-321,1
codellama,gsm8k-322,0
codellama,gsm8k-323,1
codellama,gsm8k-324,0
codellama,gsm8k-325,0
codellama,gsm8k-326,0
codellama,gsm8k-327,1
codellama,gsm8k-328,0
codellama,gsm8k-329,1
codellama,gsm8k-330,0
codellama,gsm8k-331,0
codellama,gsm8k-332,1
codellama,gsm8k-333,0
codellama,gsm8k-334,0
codellama,gsm8k-335,1
codellama,gsm8k-336,1
codellama,gsm8k-337,1
codellama,gsm8k-338,1
codellama,gsm8k-339,0
codellama,gsm8k-340,0
codellama,gsm8k-341,0
codellama,gsm8k-342,1
codellama,gsm8k-343,0
codellama,gsm8k-344,0
codellama,gsm8k-345,1
codellama,gsm8k-346,1
codellama,gsm8k-347,1
codellama,gsm8k-348,1
codellama,gsm8k-349,1
codellama,gsm8k-350,1
codellama,gsm8k-351,1
codellama,gsm8k-352,1
codellama,gsm8k-353,0
codellama,gsm8k-354,0
codellama,gsm8k-355,1
codellama,gsm8k-356,1
codellama,gsm8k-357,0
codellama,gsm8k-358,0
codellama,gsm8k-359,0
codellama,gsm8k-360,0
codellama,gsm8k-361,0
codellama,gsm8k-362,0
codellama,gsm8k-363,0
codellama,gsm8k-364,0
codellama,gsm8k-365,1
codellama,gsm8k-366,1
codellama,gsm8k-367,0
codellama,gsm8k-368,0
codellama,gsm8k-369,0
codellama,gsm8k-370,0
codellama,gsm8k-371,0
codellama,gsm8k-372,1
codellama,gsm8k-373,1
codellama,gsm8k-374,0
codellama,gsm8k-375,1
codellama,gsm8k-376,0
codellama,gsm8k-377,1
codellama,gsm8k-378,1
codellama,gsm8k-379,0
codellama,gsm8k-380,0
codellama,gsm8k-381,1
codellama,gsm8k-382,0
codellama,gsm8k-383,0
codellama,gsm8k-384,0
codellama,gsm8k-385,1
codellama,gsm8k-386,0
codellama,gsm8k-387,1
codellama,gsm8k-388,1
codellama,gsm8k-389,0
codellama,gsm8k-390,1
codellama,gsm8k-391,0
codellama,gsm8k-392,0
codellama,gsm8k-393,1
codellama,gsm8k-394,0
codellama,gsm8k-395,0
codellama,gsm8k-396,0
codellama,gsm8k-397,1
codellama,gsm8k-398,0
codellama,gsm8k-399,0
codellama,gsm8k-400,1
codellama,gsm8k-401,1
codellama,gsm8k-402,1
codellama,gsm8k-403,0
codellama,gsm8k-404,0
codellama,gsm8k-405,1
codellama,gsm8k-406,0
codellama,gsm8k-407,0
codellama,gsm8k-408,1
codellama,gsm8k-409,0
codellama,gsm8k-410,0
codellama,gsm8k-411,1
codellama,gsm8k-412,1
codellama,gsm8k-413,0
codellama,gsm8k-414,0
codellama,gsm8k-415,0
codellama,gsm8k-416,0
codellama,gsm8k-417,0
codellama,gsm8k-418,1
codellama,gsm8k-419,0
codellama,gsm8k-420,1
codellama,gsm8k-421,1
codellama,gsm8k-422,0
codellama,gsm8k-423,0
codellama,gsm8k-424,1
codellama,gsm8k-425,0
codellama,gsm8k-426,1
codellama,gsm8k-427,0
codellama,gsm8k-428,0
codellama,gsm8k-429,0
codellama,gsm8k-430,0
codellama,gsm8k-431,1
codellama,gsm8k-432,1
codellama,gsm8k-433,0
codellama,gsm8k-434,0
codellama,gsm8k-435,1
codellama,gsm8k-436,0
codellama,gsm8k-437,1
codellama,gsm8k-438,0
codellama,gsm8k-439,0
codellama,gsm8k-440,0
codellama,gsm8k-441,0
codellama,gsm8k-442,0
codellama,gsm8k-443,0
codellama,gsm8k-444,1
codellama,gsm8k-445,0
codellama,gsm8k-446,1
codellama,gsm8k-447,1
codellama,gsm8k-448,0
codellama,gsm8k-449,1
codellama,gsm8k-450,0
codellama,gsm8k-451,0
codellama,gsm8k-452,1
codellama,gsm8k-453,0
codellama,gsm8k-454,0
codellama,gsm8k-455,0
codellama,gsm8k-456,0
codellama,gsm8k-457,1
codellama,gsm8k-458,0
codellama,gsm8k-459,1
codellama,gsm8k-460,0
codellama,gsm8k-461,1
codellama,gsm8k-462,1
codellama,gsm8k-463,1
codellama,gsm8k-464,1
codellama,gsm8k-465,1
codellama,gsm8k-466,0
codellama,gsm8k-467,0
codellama,gsm8k-468,0
codellama,gsm8k-469,1
codellama,gsm8k-470,1
codellama,gsm8k-471,0
codellama,gsm8k-472,1
codellama,gsm8k-473,1
codellama,gsm8k-474,0
codellama,gsm8k-475,0
codellama,gsm8k-476,1
codellama,gsm8k-477,0
codellama,gsm8k-478,1
codellama,gsm8k-479,1
codellama,gsm8k-480,1
codellama,gsm8k-481,1
codellama,gsm8k-482,1
codellama,gsm8k-483,1
codellama,gsm8k-484,1
codellama,gsm8k-485,0
codellama,gsm8k-486,1
codellama,gsm8k-487,0
codellama,gsm8k-488,0
codellama,gsm8k-489,0
codellama,gsm8k-490,1
codellama,gsm8k-491,1
codellama,gsm8k-492,1
codellama,gsm8k-493,0
codellama,gsm8k-494,0
codellama,gsm8k-495,1
codellama,gsm8k-496,0
codellama,gsm8k-497,1
codellama,gsm8k-498,1
codellama,gsm8k-499,0
codellama,gsm8k-500,0
codellama,gsm8k-501,1
codellama,gsm8k-502,1
codellama,gsm8k-503,1
codellama,gsm8k-504,1
codellama,gsm8k-505,0
codellama,gsm8k-506,0
codellama,gsm8k-507,0
codellama,gsm8k-508,1
codellama,gsm8k-509,1
codellama,gsm8k-510,0
codellama,gsm8k-511,1
codellama,gsm8k-512,0
codellama,gsm8k-513,1
codellama,gsm8k-514,0
codellama,gsm8k-515,0
codellama,gsm8k-516,1
codellama,gsm8k-517,1
codellama,gsm8k-518,0
codellama,gsm8k-519,0
codellama,gsm8k-520,1
codellama,gsm8k-521,0
codellama,gsm8k-522,0
codellama,gsm8k-523,0
codellama,gsm8k-524,1
codellama,gsm8k-525,0
codellama,gsm8k-526,0
codellama,gsm8k-527,0
codellama,gsm8k-528,0
codellama,gsm8k-529,1
codellama,gsm8k-530,1
codellama,gsm8k-531,0
codellama,gsm8k-532,0
codellama,gsm8k-533,1
codellama,gsm8k-534,0
codellama,gsm8k-535,0
codellama,gsm8k-536,1
codellama,gsm8k-537,1
codellama,gsm8k-538,1
codellama,gsm8k-539,0
codellama,gsm8k-540,1
codellama,gsm8k-541,0
codellama,gsm8k-542,0
codellama,gsm8k-543,1
codellama,gsm8k-544,0
codellama,gsm8k-545,1
codellama,gsm8k-546,0
codellama,gsm8k-547,1
codellama,gsm8k-548,0
codellama,gsm8k-549,0
codellama,gsm8k-550,0
codellama,gsm8k-551,1
codellama,gsm8k-552,0
codellama,gsm8k-553,1
codellama,gsm8k-554,0
codellama,gsm8k-555,1
codellama,gsm8k-556,1
codellama,gsm8k-557,0
codellama,gsm8k-558,1
codellama,gsm8k-559,0
codellama,gsm8k-560,1
codellama,gsm8k-561,0
codellama,gsm8k-562,1
codellama,gsm8k-563,0
codellama,gsm8k-564,0
codellama,gsm8k-565,1
codellama,gsm8k-566,0
codellama,gsm8k-567,0
codellama,gsm8k-568,0
codellama,gsm8k-569,1
codellama,gsm8k-570,0
codellama,gsm8k-571,0
codellama,gsm8k-572,1
codellama,gsm8k-573,1
codellama,gsm8k-574,0
codellama,gsm8k-575,0
codellama,gsm8k-576,0
codellama,gsm8k-577,0
codellama,gsm8k-578,0
codellama,gsm8k-579,1
codellama,gsm8k-580,0
codellama,gsm8k-581,1
codellama,gsm8k-582,0
codellama,gsm8k-583,0
codellama,gsm8k-584,0
codellama,gsm8k-585,0
codellama,gsm8k-586,1
codellama,gsm8k-587,0
codellama,gsm8k-588,0
codellama,gsm8k-589,0
codellama,gsm8k-590,0
codellama,gsm8k-591,1
codellama,gsm8k-592,1
codellama,gsm8k-593,0
codellama,gsm8k-594,1
codellama,gsm8k-595,0
codellama,gsm8k-596,0
codellama,gsm8k-597,0
codellama,gsm8k-598,1
codellama,gsm8k-599,0
codellama,gsm8k-600,1
codellama,gsm8k-601,0
codellama,gsm8k-602,1
codellama,gsm8k-603,0
codellama,gsm8k-604,1
codellama,gsm8k-605,0
codellama,gsm8k-606,0
codellama,gsm8k-607,0
codellama,gsm8k-608,1
codellama,gsm8k-609,0
codellama,gsm8k-610,0
codellama,gsm8k-611,0
codellama,gsm8k-612,0
codellama,gsm8k-613,0
codellama,gsm8k-614,1
codellama,gsm8k-615,1
codellama,gsm8k-616,1
codellama,gsm8k-617,1
codellama,gsm8k-618,0
codellama,gsm8k-619,0
codellama,gsm8k-620,1
codellama,gsm8k-621,0
codellama,gsm8k-622,1
codellama,gsm8k-623,1
codellama,gsm8k-624,1
codellama,gsm8k-625,1
codellama,gsm8k-626,0
codellama,gsm8k-627,0
codellama,gsm8k-628,0
codellama,gsm8k-629,0
codellama,gsm8k-630,1
codellama,gsm8k-631,1
codellama,gsm8k-632,1
codellama,gsm8k-633,0
codellama,gsm8k-634,1
codellama,gsm8k-635,0
codellama,gsm8k-636,0
codellama,gsm8k-637,1
codellama,gsm8k-638,0
codellama,gsm8k-639,1
codellama,gsm8k-640,0
codellama,gsm8k-641,0
codellama,gsm8k-642,1
codellama,gsm8k-643,1
codellama,gsm8k-644,0
codellama,gsm8k-645,1
codellama,gsm8k-646,1
codellama,gsm8k-647,1
codellama,gsm8k-648,1
codellama,gsm8k-649,0
codellama,gsm8k-650,0
codellama,gsm8k-651,0
codellama,gsm8k-652,0
codellama,gsm8k-653,1
codellama,gsm8k-654,0
codellama,gsm8k-655,0
codellama,gsm8k-656,0
codellama,gsm8k-657,0
codellama,gsm8k-658,0
codellama,gsm8k-659,1
codellama,gsm8k-660,0
codellama,gsm8k-661,0
codellama,gsm8k-662,0
codellama,gsm8k-663,0
codellama,gsm8k-664,1
codellama,gsm8k-665,1
codellama,gsm8k-666,0
codellama,gsm8k-667,1
codellama,gsm8k-668,1
codellama,gsm8k-669,0
codellama,gsm8k-670,0
codellama,gsm8k-671,1
codellama,gsm8k-672,0
codellama,gsm8k-673,0
codellama,gsm8k-674,1
codellama,gsm8k-675,0
codellama,gsm8k-676,0
codellama,gsm8k-677,1
codellama,gsm8k-678,1
codellama,gsm8k-679,1
codellama,gsm8k-680,1
codellama,gsm8k-681,0
codellama,gsm8k-682,0
codellama,gsm8k-683,0
codellama,gsm8k-684,1
codellama,gsm8k-685,1
codellama,gsm8k-686,1
codellama,gsm8k-687,0
codellama,gsm8k-688,1
codellama,gsm8k-689,0
codellama,gsm8k-690,0
codellama,gsm8k-691,0
codellama,gsm8k-692,0
codellama,gsm8k-693,1
codellama,gsm8k-694,1
codellama,gsm8k-695,1
codellama,gsm8k-696,0
codellama,gsm8k-697,1
codellama,gsm8k-698,0
codellama,gsm8k-699,1
codellama,gsm8k-700,0
codellama,gsm8k-701,0
codellama,gsm8k-702,0
codellama,gsm8k-703,0
codellama,gsm8k-704,0
codellama,gsm8k-705,1
codellama,gsm8k-706,0
codellama,gsm8k-707,0
codellama,gsm8k-708,1
codellama,gsm8k-709,0
codellama,gsm8k-710,0
codellama,gsm8k-711,0
codellama,gsm8k-712,0
codellama,gsm8k-713,1
codellama,gsm8k-714,0
codellama,gsm8k-715,1
codellama,gsm8k-716,1
codellama,gsm8k-717,1
codellama,gsm8k-718,1
codellama,gsm8k-719,1
codellama,gsm8k-720,1
codellama,gsm8k-721,0
codellama,gsm8k-722,0
codellama,gsm8k-723,1
codellama,gsm8k-724,0
codellama,gsm8k-725,0
codellama,gsm8k-726,0
codellama,gsm8k-727,0
codellama,gsm8k-728,0
codellama,gsm8k-729,0
codellama,gsm8k-730,0
codellama,gsm8k-731,0
codellama,gsm8k-732,1
codellama,gsm8k-733,0
codellama,gsm8k-734,0
codellama,gsm8k-735,0
codellama,gsm8k-736,0
codellama,gsm8k-737,0
codellama,gsm8k-738,1
codellama,gsm8k-739,1
codellama,gsm8k-740,0
codellama,gsm8k-741,1
codellama,gsm8k-742,0
codellama,gsm8k-743,1
codellama,gsm8k-744,0
codellama,gsm8k-745,0
codellama,gsm8k-746,0
codellama,gsm8k-747,1
codellama,gsm8k-748,0
codellama,gsm8k-749,0
codellama,gsm8k-750,0
codellama,gsm8k-751,0
codellama,gsm8k-752,0
codellama,gsm8k-753,0
codellama,gsm8k-754,0
codellama,gsm8k-755,0
codellama,gsm8k-756,0
codellama,gsm8k-757,0
codellama,gsm8k-758,1
codellama,gsm8k-759,1
codellama,gsm8k-760,0
codellama,gsm8k-761,1
codellama,gsm8k-762,1
codellama,gsm8k-763,0
codellama,gsm8k-764,1
codellama,gsm8k-765,1
codellama,gsm8k-766,1
codellama,gsm8k-767,1
codellama,gsm8k-768,0
codellama,gsm8k-769,0
codellama,gsm8k-770,0
codellama,gsm8k-771,1
codellama,gsm8k-772,0
codellama,gsm8k-773,0
codellama,gsm8k-774,1
codellama,gsm8k-775,1
codellama,gsm8k-776,1
codellama,gsm8k-777,0
codellama,gsm8k-778,0
codellama,gsm8k-779,0
codellama,gsm8k-780,0
codellama,gsm8k-781,0
codellama,gsm8k-782,0
codellama,gsm8k-783,0
codellama,gsm8k-784,0
codellama,gsm8k-785,1
codellama,gsm8k-786,1
codellama,gsm8k-787,1
codellama,gsm8k-788,1
codellama,gsm8k-789,0
codellama,gsm8k-790,0
codellama,gsm8k-791,1
codellama,gsm8k-792,0
codellama,gsm8k-793,1
codellama,gsm8k-794,1
codellama,gsm8k-795,1
codellama,gsm8k-796,0
codellama,gsm8k-797,1
codellama,gsm8k-798,0
codellama,gsm8k-799,0
codellama,gsm8k-800,0
codellama,gsm8k-801,1
codellama,gsm8k-802,0
codellama,gsm8k-803,0
codellama,gsm8k-804,1
codellama,gsm8k-805,1
codellama,gsm8k-806,0
codellama,gsm8k-807,0
codellama,gsm8k-808,0
codellama,gsm8k-809,1
codellama,gsm8k-810,0
codellama,gsm8k-811,1
codellama,gsm8k-812,0
codellama,gsm8k-813,0
codellama,gsm8k-814,0
codellama,gsm8k-815,0
codellama,gsm8k-816,1
codellama,gsm8k-817,1
codellama,gsm8k-818,0
codellama,gsm8k-819,1
codellama,gsm8k-820,1
codellama,gsm8k-821,0
codellama,gsm8k-822,1
codellama,gsm8k-823,0
codellama,gsm8k-824,1
codellama,gsm8k-825,0
codellama,gsm8k-826,1
codellama,gsm8k-827,0
codellama,gsm8k-828,0
codellama,gsm8k-829,0
codellama,gsm8k-830,0
codellama,gsm8k-831,0
codellama,gsm8k-832,1
codellama,gsm8k-833,1
codellama,gsm8k-834,1
codellama,gsm8k-835,0
codellama,gsm8k-836,1
codellama,gsm8k-837,0
codellama,gsm8k-838,1
codellama,gsm8k-839,0
codellama,gsm8k-840,0
codellama,gsm8k-841,0
codellama,gsm8k-842,1
codellama,gsm8k-843,0
codellama,gsm8k-844,0
codellama,gsm8k-845,1
codellama,gsm8k-846,0
codellama,gsm8k-847,0
codellama,gsm8k-848,1
codellama,gsm8k-849,1
codellama,gsm8k-850,1
codellama,gsm8k-851,0
codellama,gsm8k-852,1
codellama,gsm8k-853,0
codellama,gsm8k-854,0
codellama,gsm8k-855,0
codellama,gsm8k-856,1
codellama,gsm8k-857,0
codellama,gsm8k-858,0
codellama,gsm8k-859,1
codellama,gsm8k-860,1
codellama,gsm8k-861,0
codellama,gsm8k-862,0
codellama,gsm8k-863,0
codellama,gsm8k-864,0
codellama,gsm8k-865,0
codellama,gsm8k-866,0
codellama,gsm8k-867,1
codellama,gsm8k-868,1
codellama,gsm8k-869,1
codellama,gsm8k-870,0
codellama,gsm8k-871,0
codellama,gsm8k-872,0
codellama,gsm8k-873,0
codellama,gsm8k-874,0
codellama,gsm8k-875,1
codellama,gsm8k-876,0
codellama,gsm8k-877,0
codellama,gsm8k-878,0
codellama,gsm8k-879,1
codellama,gsm8k-880,1
codellama,gsm8k-881,0
codellama,gsm8k-882,0
codellama,gsm8k-883,0
codellama,gsm8k-884,1
codellama,gsm8k-885,1
codellama,gsm8k-886,0
codellama,gsm8k-887,1
codellama,gsm8k-888,1
codellama,gsm8k-889,1
codellama,gsm8k-890,0
codellama,gsm8k-891,1
codellama,gsm8k-892,0
codellama,gsm8k-893,1
codellama,gsm8k-894,0
codellama,gsm8k-895,1
codellama,gsm8k-896,1
codellama,gsm8k-897,0
codellama,gsm8k-898,0
codellama,gsm8k-899,1
codellama,gsm8k-900,0
codellama,gsm8k-901,0
codellama,gsm8k-902,1
codellama,gsm8k-903,0
codellama,gsm8k-904,1
codellama,gsm8k-905,0
codellama,gsm8k-906,0
codellama,gsm8k-907,1
codellama,gsm8k-908,1
codellama,gsm8k-909,0
codellama,gsm8k-910,1
codellama,gsm8k-911,1
codellama,gsm8k-912,0
codellama,gsm8k-913,0
codellama,gsm8k-914,1
codellama,gsm8k-915,0
codellama,gsm8k-916,0
codellama,gsm8k-917,0
codellama,gsm8k-918,1
codellama,gsm8k-919,1
codellama,gsm8k-920,0
codellama,gsm8k-921,0
codellama,gsm8k-922,1
codellama,gsm8k-923,0
codellama,gsm8k-924,0
codellama,gsm8k-925,1
codellama,gsm8k-926,0
codellama,gsm8k-927,0
codellama,gsm8k-928,0
codellama,gsm8k-929,1
codellama,gsm8k-930,1
codellama,gsm8k-931,0
codellama,gsm8k-932,0
codellama,gsm8k-933,1
codellama,gsm8k-934,1
codellama,gsm8k-935,0
codellama,gsm8k-936,0
codellama,gsm8k-937,0
codellama,gsm8k-938,1
codellama,gsm8k-939,0
codellama,gsm8k-940,0
codellama,gsm8k-941,1
codellama,gsm8k-942,0
codellama,gsm8k-943,0
codellama,gsm8k-944,1
codellama,gsm8k-945,0
codellama,gsm8k-946,1
codellama,gsm8k-947,1
codellama,gsm8k-948,0
codellama,gsm8k-949,1
codellama,gsm8k-950,0
codellama,gsm8k-951,0
codellama,gsm8k-952,0
codellama,gsm8k-953,0
codellama,gsm8k-954,0
codellama,gsm8k-955,0
codellama,gsm8k-956,1
codellama,gsm8k-957,0
codellama,gsm8k-958,0
codellama,gsm8k-959,0
codellama,gsm8k-960,0
codellama,gsm8k-961,0
codellama,gsm8k-962,1
codellama,gsm8k-963,0
codellama,gsm8k-964,1
codellama,gsm8k-965,0
codellama,gsm8k-966,0
codellama,gsm8k-967,1
codellama,gsm8k-968,0
codellama,gsm8k-969,1
codellama,gsm8k-970,0
codellama,gsm8k-971,0
codellama,gsm8k-972,0
codellama,gsm8k-973,0
codellama,gsm8k-974,0
codellama,gsm8k-975,1
codellama,gsm8k-976,0
codellama,gsm8k-977,1
codellama,gsm8k-978,0
codellama,gsm8k-979,0
codellama,gsm8k-980,0
codellama,gsm8k-981,0
codellama,gsm8k-982,1
codellama,gsm8k-983,0
codellama,gsm8k-984,0
codellama,gsm8k-985,1
codellama,gsm8k-986,0
codellama,gsm8k-987,0
codellama,gsm8k-988,1
codellama,gsm8k-989,1
codellama,gsm8k-990,1
codellama,gsm8k-991,0
codellama,gsm8k-992,1
codellama,gsm8k-993,0
codellama,gsm8k-994,1
codellama,gsm8k-995,1
codellama,gsm8k-996,0
codellama,gsm8k-997,0
